segment_id,n_points,n_windows,rmse_to_mid_s_median,jitter_median_s_overall,jitter_p95_s_overall,drift_ppm_median,quality_flag,notes
0,102229,0,,,,,no_abs_time,no_windows
1,5515,1,2.146409253309556,3.8670389652252197,7.478577101230621,-250.97794588857525,good,windows:1
2,152005,3,2.1909190078814142,4.134981274604797,7.374918293952942,-6.139456374398833,good,windows:3
3,268436,7,2.210517573337806,4.0570619106292725,7.262503337860108,-8.368588628959728,good,windows:7
4,34468,2,2.1285903629106544,4.156850516796112,6.938102650642395,-13.77020930537487,good,windows:2
5,281069,8,2.2051789889466074,3.671173930168152,7.420082080364227,-12.330339933142032,good,windows:8
